species,sal,temp,source,data_original_or_derived_from_plots_figures,location,name,value
Benedenia seriolae,35,20,Ernst et al. 2005,From Figure 1 in Ernst et al. 2005,Japan,time_last_hatch,8
Benedenia seriolae,35,20,Ernst et al. 2005,From Figure 1 in Ernst et al. 2005,Japan,hatch_success,96
Benedenia seriolae,35,26,Ernst et al. 2005,From text and Figure 1 in Ernst et al. 2005,Japan,time_1st_hatch,5
Benedenia seriolae,35,26,Ernst et al. 2005,From text and Figure 1 in Ernst et al. 2005,Japan,time_last_hatch,6
Benedenia seriolae,35,26,Ernst et al. 2005,From text and Figure 1 in Ernst et al. 2005,Japan,hatch_success,97
Benedenia seriolae,30,18,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005,Japan,time_1st_hatch,9
Benedenia seriolae,30,18,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005,Japan,time_last_hatch,11
Benedenia seriolae,30,18,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005,Japan,hatch_success,98
Benedenia seriolae,40,18,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005; Ernst poster,Japan,time_1st_hatch,9
Benedenia seriolae,40,18,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005; Ernst poster,Japan,time_last_hatch,11
Benedenia seriolae,40,18,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005; Ernst poster,Japan,hatch_success,99
Benedenia seriolae,40,26,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005; Ernst poster,Japan,time_1st_hatch,6
Benedenia seriolae,40,26,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005; Ernst poster,Japan,time_last_hatch,7
Benedenia seriolae,40,26,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005; Ernst poster,Japan,hatch_success,99
